IFM,Union,Division,Industry,Day_Porter,Custodial,Cleanroom,GMP,Lab,MAC,Maintenance,Landscaping,Recycle,Other,Service_Days,Service_Model,SOW_Type,Trash_Freq,Vacuum_Freq,Restroom_Freq,SOW_Intensity_Range,Account_Size,Total_Supervision_Ratio,Labor_Cost_Score,CSAT,Turnover,Floor_Tech_FTE,CSR_FTE,Lead_FTE,Salary_EE_Count,Hourly_Burden,Mgmt_Burden,Total_Burden,Mobile,Price
4,1,16,1,1,1,0,0,0,0,0,0,1,1,5,1,1,3,4,6,3,4,8,7,5,0.213,4,97.1,32.1,19,0.74,0.7,0.73,1,0.214
1,1,16,1,1,1,1,0,0,0,0,0,1,1,5,1,1,3,1,3,2,4,8,5,4.3,0.136,10.2,30.2,14.6,11,0.55,0.54,0.55,0,0.17
2,1,17,2,1,1,0,0,0,1,1,0,0,1,5,2,1,2,1,3,2,4,8,10,4.75,0.197,9.2,14,1.8,5,0.7,0.45,0.66,1,0.245
4,1,5,2,0,1,0,0,0,0,1,0,0,1,5,3,1,4,2,2,2,4,7,6,4,0,0,0,5.8,6,0.67,0.67,0.67,0,0.184
1,0,7,2,1,1,0,0,0,0,1,0,1,1,5,1,1,4,2,3,2,4,8,3,4.25,0.285,7.4,23.2,8.5,4,0.31,0.31,0.31,1,0.165
5,0,13,3,1,1,0,0,0,0,0,0,0,0,5,0,1,4,3,1,1,4,4,3,5,0.162,2.2,2.3,8.1,3,0.33,0.29,0.33,0,0.102
5,0,13,3,1,1,0,0,0,0,1,0,1,1,5,0,1,1,3,1,1,4,5,3,5,0.149,8.4,0.9,3.5,7,0.26,0.29,0.26,0,0.233
1,1,2,1,1,1,1,0,0,0,0,0,1,1,6,1,1,3,3,5,3,4,14,7,4.8,0.019,2.4,15.3,1.7,2,0.72,0.86,0.73,0,0.2
4,1,9,4,1,1,0,0,0,0,0,0,0,0,5,2,1,3,2,1,1,4,14,6,5,0.242,2,40.8,0,4,0.65,0.65,0.65,1,0.11
2,1,17,2,1,1,0,0,0,0,0,0,0,0,5,2,1,4,1,3,2,4,9,7,5,0,0,25.6,3.4,2,0.75,0.54,0.72,0,0.156
5,0,13,3,1,1,0,0,0,1,0,1,0,0,5,0,1,4,3,1,1,4,9,3,4,0.792,3.6,30,2,4,0.26,0.27,0.26,1,0.117
5,1,1,5,1,1,0,0,0,0,1,0,0,0,5,1,1,0,0,0,0,4,22,3,4.75,0.482,0,15.6,2,1,0.45,0.46,0.45,0,0.161
5,1,7,2,1,1,0,1,0,0,0,0,0,1,5,0,1,4,3,3,2,4,9,3,4.25,0.332,3.9,9.3,3.2,3,0.32,0.32,0.32,0,0.249
4,1,13,6,1,1,0,0,0,0,0,0,0,0,5,1,1,4,2,2,2,4,7,5,5,0.478,4,7.1,2.7,5,0.43,0.49,0.44,0,0.12
1,1,16,1,1,1,0,0,0,0,0,0,1,0,6,1,1,3,1,3,2,4,23,5,3.1,0.306,2.9,12.3,0,2,0.5,0.51,0.5,0,0.126
4,1,17,2,1,1,0,0,0,0,1,0,0,0,5,2,1,4,3,3,2,4,7,6,4.88,0.16,3.7,9.3,1.8,4,0.68,0.69,0.68,0,0.222
1,0,7,1,1,1,1,0,0,0,0,0,1,0,6,1,1,3,1,3,2,4,9,2,4,0.353,3.9,15.6,1.3,5,0.23,0.23,0.23,0,0.117
1,0,10,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,1,0,4,0,0,0,0,1,0.6,0,0.6,0,0.163
1,1,17,2,1,1,0,1,0,0,0,0,0,0,5,1,2,4,3,2,2,4,9,6,4.25,0.116,1.9,4.3,3.3,1,0.61,0.32,0.61,0,0.177
4,0,10,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,1,0,4,0,0,0,0,3,0.26,0,0.26,0,0.223
4,0,17,2,1,1,0,1,1,0,0,0,0,0,5,3,2,0,0,0,0,4,9,2,4.83,0.553,0.9,7.3,1.2,4,0.19,0.58,0.25,0,0.206
1,0,7,6,1,1,0,0,0,0,0,0,0,0,5,1,1,4,2,2,2,4,7,2,3.25,0.702,5,8,7.2,2,0.21,0.23,0.21,0,0.114
1,1,1,1,1,1,0,0,0,0,0,0,1,0,5,1,1,3,1,3,2,4,5,4,4.75,0.283,1.1,7.5,3.6,3,0.6,0.61,0.6,0,0.121
5,0,3,7,1,1,0,0,0,0,0,0,0,0,5,1,1,5,5,3,3,4,5,3,4,0.333,1.2,5.4,7.1,3,0.26,0.27,0.26,0,0.154
1,1,17,2,1,1,0,0,0,0,0,0,0,0,5,1,2,4,3,2,2,4,7,6,5,0.035,3.4,2.2,2.3,2,0.62,0.61,0.62,0,0.171
1,1,17,2,1,1,0,1,0,0,0,0,0,0,5,1,2,4,1,2,2,4,9,6,5,0.127,3.4,4,1.2,2,0.64,0.57,0.63,0,0.187
1,0,10,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,1,0,4,0,0,0,0,1,0.67,0,0.67,0,0.124
